dataset,term,component,E,P,A
usfullsurveyor2015,aide,identity,2,1.41,0.21
usfullsurveyor2015,aimless,modifier,-1.51,-1.94,-1.44
usfullsurveyor2015,air_force_enlistee,identity,2.06,1.56,0.86
usfullsurveyor2015,air_force_officer,identity,2.07,2.42,1.6
usfullsurveyor2015,air_force_reservist,identity,1.93,1.61,0.68
usfullsurveyor2015,airline_pilot,identity,1.66,2.41,0.33
usfullsurveyor2015,alarm,behavior,-0.36,1.43,2.22
usfullsurveyor2015,alarmed,modifier,-1.37,0.21,1.53
usfullsurveyor2015,alcoholic,identity,-2.29,-1.83,1.13
usfullsurveyor2015,alert,behavior,2.2,2,2.02
usfullsurveyor2015,alert,modifier,2.32,1.9,0.84
usfullsurveyor2015,alienate,behavior,-2.79,1.01,-0.63
usfullsurveyor2015,allow,behavior,1.19,1.41,-0.04
usfullsurveyor2015,ally,identity,2.34,2.15,-0.16
usfullsurveyor2015,aloof,modifier,-0.8,-1.14,-1.25
usfullsurveyor2015,alumnus,identity,1.53,1.39,0.32
usfullsurveyor2015,amaze,behavior,2.59,2.71,1.62
usfullsurveyor2015,ambassador,identity,1.46,2.28,0.31
usfullsurveyor2015,ambitious,modifier,2.59,2.44,1.36
usfullsurveyor2015,american,identity,1.41,1.81,1.77
usfullsurveyor2015,amorous,modifier,1.85,1.46,0.51
usfullsurveyor2015,amuse,behavior,2.51,2.01,1.79
usfullsurveyor2015,amused,modifier,2.52,1.44,0.92
usfullsurveyor2015,amusing,modifier,2.38,1.75,1.78
usfullsurveyor2015,analyze,behavior,0.53,1.12,-0.64
usfullsurveyor2015,anesthetist,identity,1.52,1.85,-0.89
usfullsurveyor2015,angel,identity,3.28,2.77,-0.86
usfullsurveyor2015,anger,behavior,-2.22,0.96,1.65
usfullsurveyor2015,angry,modifier,-1.77,0.57,1.8
usfullsurveyor2015,anguished,modifier,-1.97,-0.68,-0.8
usfullsurveyor2015,annihilate,behavior,-2.92,2.17,1.91
usfullsurveyor2015,annoy,behavior,-1.95,0.51,1.63
usfullsurveyor2015,annoyed,modifier,-2.08,-0.57,0.53
usfullsurveyor2015,annoying,modifier,-2.15,0.23,1.94
usfullsurveyor2015,answer,behavior,1.84,1.16,0.36
usfullsurveyor2015,antagonize,behavior,-2.8,0.77,1.55
usfullsurveyor2015,anti_semite,identity,-2.81,-0.36,1.35
usfullsurveyor2015,antisocial,modifier,-1.64,-1.65,-2.34
usfullsurveyor2015,anxious,modifier,-1.69,-1.08,0.58
usfullsurveyor2015,apathetic,modifier,-1.2,-0.8,-1.79
usfullsurveyor2015,apologize_to,behavior,2.7,2.35,-0.92
usfullsurveyor2015,appalled,modifier,-1.22,-0.18,0.41
usfullsurveyor2015,appeal_to,behavior,1.95,1.79,0.05
usfullsurveyor2015,appease,behavior,0.61,0.23,-0.36
usfullsurveyor2015,applaud,behavior,2.97,2.4,2.5
usfullsurveyor2015,applicant,identity,1.12,-0.63,-0.06
usfullsurveyor2015,appoint,behavior,1.7,2.32,0.31
usfullsurveyor2015,appreciate,behavior,3.38,2.62,-0.16
usfullsurveyor2015,appreciative,modifier,3.21,2.41,0.08
usfullsurveyor2015,apprehend,behavior,0.16,1.9,1.66
usfullsurveyor2015,apprehensive,modifier,-1.45,-0.46,-0.63
usfullsurveyor2015,apprentice,identity,1.46,-0.29,0.03
usfullsurveyor2015,approach,behavior,1.51,1.44,0.6
usfullsurveyor2015,approve_of,behavior,2.12,1.93,-0.24
usfullsurveyor2015,arab,identity,0.31,0.45,0.16
usfullsurveyor2015,architect,identity,1.52,1.7,-0.28
usfullsurveyor2015,argue_with,behavior,-1.57,1.18,2.22
usfullsurveyor2015,arm,behavior,-0.65,2.12,1.27
usfullsurveyor2015,army_chaplain,identity,2.16,1.59,0.23
usfullsurveyor2015,army_enlistee,identity,2.39,1.64,1.3
usfullsurveyor2015,army_general,identity,1.81,3.34,2.32
usfullsurveyor2015,army_officer,identity,1.28,2.36,1.64
usfullsurveyor2015,army_reservist,identity,1.74,1.18,0.62
usfullsurveyor2015,arouse,behavior,1.92,1.99,0.82
usfullsurveyor2015,aroused,modifier,2.16,1.66,1.05
usfullsurveyor2015,arrest,behavior,-0.07,2.36,1.92
usfullsurveyor2015,arrogant,modifier,-2.38,-0.4,1.79
usfullsurveyor2015,arsonist,identity,-3.31,1.55,0.69
usfullsurveyor2015,artist,identity,1.74,0.92,-0.33
usfullsurveyor2015,artistic,modifier,2.48,1.56,0.73
usfullsurveyor2015,artistical,modifier,2.4,1.4,-0.72
usfullsurveyor2015,ashamed,modifier,-2.36,-0.41,-1.73
usfullsurveyor2015,asian,identity,1.41,0.39,-0.34
usfullsurveyor2015,asian_american,identity,1.15,0.8,-0.06
usfullsurveyor2015,asian_man,identity,0.82,0.2,-0.35
usfullsurveyor2015,asian_woman,identity,1.25,0.32,-0.27
usfullsurveyor2015,ask,behavior,1.87,1.27,0.05
usfullsurveyor2015,ask_about,behavior,1.62,0.87,0.06
usfullsurveyor2015,ask_about_something,behavior,1.65,1.3,0.34
usfullsurveyor2015,ask_out,behavior,2.35,1.81,0.44
usfullsurveyor2015,ass,identity,-1.48,0.29,1.38
usfullsurveyor2015,assail,behavior,-1.44,0.84,1.39
usfullsurveyor2015,assailant,identity,-2.29,1.39,0.78
usfullsurveyor2015,assassin,identity,-2.62,2.71,-0.77
usfullsurveyor2015,assassinate,behavior,-3.34,2.45,0.9
usfullsurveyor2015,assault,behavior,-3.46,1.45,2.32
usfullsurveyor2015,assembly_line_worker,identity,0.77,-1.02,0.76
usfullsurveyor2015,assertive,modifier,1.31,2.36,1.88
usfullsurveyor2015,assess,behavior,0.39,1.03,-0.6
usfullsurveyor2015,assist,behavior,3.12,2.36,0.45
usfullsurveyor2015,assistant,identity,1.51,-0.1,0.05
usfullsurveyor2015,associate_with,behavior,1.78,1.31,0.53
usfullsurveyor2015,assure,behavior,2.66,2.16,-0.37
usfullsurveyor2015,astonish,behavior,1.66,2.21,1.51
usfullsurveyor2015,astonished,modifier,0.85,0.66,0.96
usfullsurveyor2015,astound,behavior,1.67,2.05,1.41
usfullsurveyor2015,astrologer,identity,0.95,0.42,-0.63
usfullsurveyor2015,astronaut,identity,2.33,2.13,0.76
usfullsurveyor2015,at_ease,modifier,2.84,1.99,-2.1
usfullsurveyor2015,atheist,identity,-0.19,-0.29,0.04
usfullsurveyor2015,athlete,identity,1.81,2.5,2.45
usfullsurveyor2015,attack,behavior,-3.1,1.43,2.35
usfullsurveyor2015,attend_to,behavior,2.51,1.79,0.26
usfullsurveyor2015,attentive,modifier,2.8,2.04,-0.74
usfullsurveyor2015,attorney,identity,1.21,2.46,1.51
usfullsurveyor2015,attorney_general,identity,0.94,2.54,0.73
usfullsurveyor2015,attract,behavior,2.48,2.63,0.63
usfullsurveyor2015,attractive,modifier,2.36,2.26,0.69
usfullsurveyor2015,auctioneer,identity,0.76,1.19,3.03
usfullsurveyor2015,audacious,modifier,0.48,1.24,1.75
usfullsurveyor2015,auditor,identity,-0.33,1.54,-0.61
usfullsurveyor2015,auditor_general,identity,0.14,1.55,0.1
usfullsurveyor2015,aunt,identity,1.95,0.62,0.7
usfullsurveyor2015,australian,identity,1.03,0.32,0.62
usfullsurveyor2015,austrian,identity,0.57,0.28,0.31
usfullsurveyor2015,author,identity,1.45,1.88,-1.13
usfullsurveyor2015,authoritarian,modifier,-0.45,2.02,1.24
usfullsurveyor2015,authority,identity,0.7,2.99,0.85
usfullsurveyor2015,authorize,behavior,1.07,2.11,0.39
usfullsurveyor2015,autistic_person,identity,0.9,-0.86,-0.25
usfullsurveyor2015,auto_mechanic,identity,1.15,0.58,0.55
usfullsurveyor2015,automobile_assembler,identity,1.19,0.55,1.06
usfullsurveyor2015,autonomous,modifier,0.92,1.59,0.17
usfullsurveyor2015,avenge,behavior,-0.23,1.82,0.99
usfullsurveyor2015,average,modifier,-0.61,-1.2,-0.77
usfullsurveyor2015,avoid,behavior,-1.41,-0.31,-0.62
usfullsurveyor2015,awaken,behavior,-0.66,1.3,1.23
usfullsurveyor2015,awe,behavior,2.04,1.82,0.19
usfullsurveyor2015,awe_struck,modifier,1.4,0.88,0.22
usfullsurveyor2015,awkward,modifier,-0.63,-0.93,-1.02
usfullsurveyor2015,babble_to,behavior,-0.89,-0.66,1.88
usfullsurveyor2015,baby,behavior,-1.2,-0.46,-0.92
usfullsurveyor2015,baby,identity,2.5,-2.55,1.58
usfullsurveyor2015,babysitter,identity,2.12,1.36,0.36
usfullsurveyor2015,bachelor,identity,0.63,0.71,1.33
usfullsurveyor2015,back,behavior,2.07,1.97,0.74
usfullsurveyor2015,backstab,behavior,-3.37,0.79,0.44
usfullsurveyor2015,backstabber,identity,-3.62,0.55,-0.07
usfullsurveyor2015,bad,modifier,-3.04,0.7,1.04
usfullsurveyor2015,bad_tempered,modifier,-2.78,-0.47,2
usfullsurveyor2015,badger,behavior,-1.92,-0.12,1.92
usfullsurveyor2015,bailiff,identity,0.72,1.56,0.1
usfullsurveyor2015,bailsman,identity,0.58,1.57,0.55
usfullsurveyor2015,bait,behavior,-1.85,0.83,-0.32
usfullsurveyor2015,baker,identity,1.97,0.7,0.06
usfullsurveyor2015,ban,behavior,-1.59,2.09,0.89
usfullsurveyor2015,bandit,identity,-2.05,0.68,1.19
usfullsurveyor2015,banish,behavior,-2.2,1.89,1.01
usfullsurveyor2015,bank_manager,identity,1.11,1.81,0.27
usfullsurveyor2015,bank_teller,identity,1.27,0.57,-0.52
usfullsurveyor2015,banker,identity,0.96,1.26,-0.52
usfullsurveyor2015,bankrupt,behavior,-3.28,1.06,0.14
usfullsurveyor2015,banter_with,behavior,0.62,0.7,1.8
usfullsurveyor2015,baptist,identity,0.7,0.66,0.87
usfullsurveyor2015,baptize,behavior,1.72,1.95,0.25
usfullsurveyor2015,barber,identity,1.35,0.26,0.41
usfullsurveyor2015,bargain_with,behavior,1.16,1.13,0.82
usfullsurveyor2015,barricade,behavior,-1.87,1.47,0.76
usfullsurveyor2015,bartender,identity,1.33,1.18,2.16
usfullsurveyor2015,barter_with,behavior,1.19,1.31,1.46
usfullsurveyor2015,bash,behavior,-2.71,0.15,1.53
usfullsurveyor2015,bastard,identity,-1.48,-0.79,0.38
usfullsurveyor2015,bathe,behavior,1.42,0.54,-0.71
usfullsurveyor2015,battered_woman,identity,-2.21,-2.09,-1.49
usfullsurveyor2015,bawl_out,behavior,-1.23,0.31,1.41
usfullsurveyor2015,be_intimate_with,behavior,2.49,2.4,-0.28
usfullsurveyor2015,be_sarcastic_toward,behavior,-0.71,0.47,1.09
usfullsurveyor2015,beam_at,behavior,1.44,1.34,0.11
usfullsurveyor2015,beat,behavior,-1.8,1.55,1.84
usfullsurveyor2015,beat_up,behavior,-3.16,1.36,2.41
usfullsurveyor2015,beautician,identity,1.32,0.05,1.11
usfullsurveyor2015,beautiful,modifier,2.41,2.35,0.45
usfullsurveyor2015,beauty,identity,2.31,2.07,0.23
usfullsurveyor2015,beckon_to,behavior,0.28,0.68,0.39
usfullsurveyor2015,befriend,behavior,2.36,2.17,0.16
usfullsurveyor2015,befuddle,behavior,-1.2,0.33,0.76
usfullsurveyor2015,beg,behavior,-1.58,-2.02,0.71
usfullsurveyor2015,beggar,identity,-1.3,-2.71,-0.69
usfullsurveyor2015,beginner,identity,0.42,-1.39,-0.95
usfullsurveyor2015,begrudge,behavior,-1.68,0.32,-0.44
usfullsurveyor2015,believe,behavior,1.81,1.7,-0.01
usfullsurveyor2015,belittle,behavior,-3.37,0.01,-0.12
usfullsurveyor2015,bellhop,identity,1.2,-0.82,0.95
usfullsurveyor2015,belligerent,modifier,-2.29,-0.41,2
usfullsurveyor2015,bellow_at,behavior,-1.26,0.79,1.96
usfullsurveyor2015,bend,behavior,-0.91,1.16,0
usfullsurveyor2015,benefactor,identity,1.97,1.98,0.1
usfullsurveyor2015,benevolent,modifier,2.35,1.82,-0.25
usfullsurveyor2015,bequeath_to,behavior,0.67,1.11,-0.12
usfullsurveyor2015,berate,behavior,-2.27,0.59,1.57
usfullsurveyor2015,beseech,behavior,-0.69,0.49,0.47
usfullsurveyor2015,best_friend,identity,3.62,3.1,1.25
usfullsurveyor2015,best_man,identity,2.59,1.48,0.81
usfullsurveyor2015,bestow_something_to,behavior,2.07,2.11,0.52
usfullsurveyor2015,betray,behavior,-3.34,0.53,0.26
usfullsurveyor2015,betrayed,modifier,-3.49,0.82,0.01
usfullsurveyor2015,bewilder,behavior,-0.34,0.68,0.65
usfullsurveyor2015,bewitch,behavior,-1.17,1.34,0.46
usfullsurveyor2015,bias,behavior,-1.78,0.08,0.09
usfullsurveyor2015,bicker_with,behavior,-1.85,0.3,2.11
usfullsurveyor2015,big,modifier,0.56,2.07,0.15
usfullsurveyor2015,big_shot,identity,-0.59,1.38,1.95
usfullsurveyor2015,bigamist,identity,-2.02,-0.3,0.9
usfullsurveyor2015,bigot,identity,-2.8,-0.57,1.5
usfullsurveyor2015,bill,behavior,-0.31,1.26,-0.18
usfullsurveyor2015,bill_collector,identity,-1.07,1.63,1.02
usfullsurveyor2015,bind,behavior,-1.57,1.51,0.37
usfullsurveyor2015,biologist,identity,1.83,1.45,-0.11
usfullsurveyor2015,bisexual,identity,0.18,-0.05,0.38
usfullsurveyor2015,bitch,identity,-2.48,0.06,2.2
usfullsurveyor2015,bitchy,modifier,-2.78,0.04,2.52
usfullsurveyor2015,bite,behavior,-2.48,0.78,1.47
usfullsurveyor2015,bitter,modifier,-2.33,-0.93,-0.6
usfullsurveyor2015,blabber_to,behavior,-1.26,-0.39,1.79
usfullsurveyor2015,blabbermouth,identity,-2.05,-0.12,2.9
usfullsurveyor2015,black,identity,0.86,0.7,0.98
usfullsurveyor2015,black,modifier,0.77,0.32,0.97
usfullsurveyor2015,black_man,identity,1.6,1.17,0.95
usfullsurveyor2015,black_professional,identity,1.56,1.48,0.71
usfullsurveyor2015,black_woman,identity,1.45,1.34,1.7
usfullsurveyor2015,blackmail,behavior,-3.13,1.35,-0.22
usfullsurveyor2015,blacksmith,identity,1.22,1.26,0.95
usfullsurveyor2015,blame,behavior,-2.03,-0.48,0.93
usfullsurveyor2015,bless,behavior,2.35,1.93,-0.1
usfullsurveyor2015,blind,behavior,-3.24,1.4,0.64
usfullsurveyor2015,blind_date,identity,0.29,-0.33,0.13
usfullsurveyor2015,blind_person,identity,0.65,-1.2,-1.52
usfullsurveyor2015,block,behavior,-1.06,1.35,0.52
usfullsurveyor2015,blockhead,identity,-1.51,-1.29,-0.78
usfullsurveyor2015,blogger,identity,0.5,0.45,0.94
usfullsurveyor2015,blonde,identity,0.55,0.31,0.86
usfullsurveyor2015,blood_donor,identity,2.98,2.3,-0.37
usfullsurveyor2015,blue,modifier,-2.18,-1.39,-1.94
usfullsurveyor2015,blue_collar_worker,identity,1.52,0.05,0.43
usfullsurveyor2015,bluff,behavior,-1.03,0.9,-0.11
usfullsurveyor2015,board_director,identity,1.04,2.59,1.09
usfullsurveyor2015,boarder,identity,0.34,-0.08,-0.17
usfullsurveyor2015,bodyguard,identity,1.86,2.65,0.39
usfullsurveyor2015,bohemian,identity,0.71,0.08,0.07
usfullsurveyor2015,bold,modifier,2.15,2.53,1.93
usfullsurveyor2015,bonehead,identity,-1.68,-1.75,-0.79
usfullsurveyor2015,bookie,identity,-0.62,0.85,0.08
usfullsurveyor2015,bookkeeper,identity,1.35,0.04,-1.44
usfullsurveyor2015,bookworm,identity,1.57,0.32,-2.29
usfullsurveyor2015,boor,identity,-0.65,-0.49,-0.88
usfullsurveyor2015,bore,identity,-1.6,-1.09,-2
usfullsurveyor2015,bored,modifier,-1.85,-0.86,-2.01
usfullsurveyor2015,boring,modifier,-1.68,-1.79,-2.45
usfullsurveyor2015,born_again_christian,identity,1.52,0.99,0.55
usfullsurveyor2015,borrow_money_from,behavior,-0.72,-0.74,-0.5
usfullsurveyor2015,boss,behavior,-1.12,1.57,1.48
usfullsurveyor2015,boss,identity,0.91,2.79,1.07
usfullsurveyor2015,bossy,modifier,-1.38,1.11,1.96
usfullsurveyor2015,bother,behavior,-2.17,0.32,1.84
usfullsurveyor2015,bouncer,identity,0.55,2.3,0.63
usfullsurveyor2015,bow_to,behavior,1.13,0.17,-1.31
usfullsurveyor2015,box,behavior,-1.08,1.43,1.89
usfullsurveyor2015,boxer,identity,0.66,2.46,2.4
usfullsurveyor2015,boy,identity,0.84,0.87,1.59
usfullsurveyor2015,boy_scout,identity,1.81,0.5,0.86
usfullsurveyor2015,boyfriend,identity,1.86,1.68,0.89
usfullsurveyor2015,braggart,identity,-1.67,-0.62,1.81
usfullsurveyor2015,brain,identity,3.34,3.7,2.27
usfullsurveyor2015,brat,identity,-2.66,-0.26,2.49
usfullsurveyor2015,brave,modifier,3.09,3.08,1.36
usfullsurveyor2015,brawl_with,behavior,-2,0.71,2.64
usfullsurveyor2015,breadwinner,identity,2.18,2.38,0.69
usfullsurveyor2015,break_up_with,behavior,-1.38,1.25,0.6
usfullsurveyor2015,bribe,behavior,-1.54,0.87,0.26
usfullsurveyor2015,bricklayer,identity,1.21,0.69,0.11
usfullsurveyor2015,bride,identity,2.16,1.88,0.97
usfullsurveyor2015,bridegroom,identity,1.66,1.41,0.32
usfullsurveyor2015,bridesmaid,identity,1.93,0.37,0.93
usfullsurveyor2015,brief,behavior,1.18,1.08,0.44
usfullsurveyor2015,bright,modifier,2.79,2.7,1.21
usfullsurveyor2015,broad,identity,-0.31,-0.04,0.91
usfullsurveyor2015,broad_minded,modifier,2.33,2.06,0.09
usfullsurveyor2015,broadcast_news_analyst,identity,0.68,1.33,1.41
usfullsurveyor2015,broken_hearted,modifier,-2.97,-0.36,-1.47
usfullsurveyor2015,brother,identity,1.8,1.72,1.43
usfullsurveyor2015,brother_in_law,identity,1.05,0.3,0.42
usfullsurveyor2015,browbeat,behavior,-1.96,0.89,0.85
usfullsurveyor2015,brunette,identity,1.18,0.67,0.36
usfullsurveyor2015,brush_off,behavior,-1.55,0.8,-0.38
usfullsurveyor2015,brutalize,behavior,-3.64,0.85,1.73
usfullsurveyor2015,brute,identity,-1.97,1.74,1.44
usfullsurveyor2015,buddhist,identity,1.45,0.61,-1.88
usfullsurveyor2015,buddy,identity,2.66,1.98,1.01
usfullsurveyor2015,buffoon,identity,-1.61,-1.4,0.91
usfullsurveyor2015,bug,behavior,-1.8,0.09,1.54
usfullsurveyor2015,building_contractor,identity,1.05,1.39,1.04
usfullsurveyor2015,bulldozer_operator,identity,0.44,1.17,1.38
usfullsurveyor2015,bullheaded,modifier,-1.36,0.35,1.18
usfullsurveyor2015,bully,behavior,-3.52,0.65,1.56
usfullsurveyor2015,bully,identity,-3.25,0.66,2.04
usfullsurveyor2015,bum,identity,-1.69,-2.49,-1.62
usfullsurveyor2015,bureaucrat,identity,-0.59,1.22,0.09
usfullsurveyor2015,burglar,identity,-3.37,0.6,-0.39
usfullsurveyor2015,bury,behavior,-0.52,0.99,-1.56
usfullsurveyor2015,bus_driver,identity,1.31,0.17,0.05
usfullsurveyor2015,busboy,identity,0.85,-1.16,0.33
usfullsurveyor2015,businessman,identity,0.64,1.81,1.31
usfullsurveyor2015,businesswoman,identity,1.82,2.35,1.6
usfullsurveyor2015,busybody,identity,0.15,0.44,2.37
usfullsurveyor2015,butcher,identity,0.75,0.77,0.67
usfullsurveyor2015,butter_up,behavior,0.01,1.01,0.28
usfullsurveyor2015,bystander,identity,-0.13,-0.49,-1.27
usfullsurveyor2015,cabinet_maker,identity,1.1,0.71,0.28
usfullsurveyor2015,cabinet_member,identity,0.59,1.84,0.46
usfullsurveyor2015,cad,identity,-1.36,-0.78,0.72
usfullsurveyor2015,cajole,behavior,-0.6,0.6,0.89
usfullsurveyor2015,call,behavior,1.49,1.1,0.97
usfullsurveyor2015,call_girl,identity,-1.04,-0.68,0.92
usfullsurveyor2015,calm,behavior,2.84,2.08,-1.99
usfullsurveyor2015,calm,modifier,2.88,1.93,-2.32
usfullsurveyor2015,candid,modifier,1.42,1.25,0.8
usfullsurveyor2015,cantankerous,modifier,-1.3,-0.15,1.19
usfullsurveyor2015,capitalist,identity,0.54,1.64,1.37
usfullsurveyor2015,captivate,behavior,2.27,2.92,1.48
usfullsurveyor2015,captivated,modifier,1.67,1.22,0.62
usfullsurveyor2015,captive,identity,-1.14,-2.71,-0.76
usfullsurveyor2015,capture,behavior,-1.1,2.06,1.32
usfullsurveyor2015,care_for,behavior,3.39,3,-0.36
usfullsurveyor2015,carefree,modifier,1.58,0.93,-0.13
usfullsurveyor2015,careful,modifier,1.91,1.26,-1.42
usfullsurveyor2015,careless,modifier,-2.4,-0.97,0.66
usfullsurveyor2015,caress,behavior,2.32,1.51,-1.77
usfullsurveyor2015,caring,modifier,3.24,2.75,-0.6
usfullsurveyor2015,carpenter,identity,1.25,0.65,0.86
usfullsurveyor2015,cashier,identity,0.65,-0.73,0.42
usfullsurveyor2015,casual_laborer,identity,0.77,-0.42,-0.05
usfullsurveyor2015,catch,behavior,1.01,1.63,1.12
usfullsurveyor2015,catholic,identity,0.55,0.49,-0.21
usfullsurveyor2015,caution,behavior,2.04,1.32,0.56
usfullsurveyor2015,cautious,modifier,2.02,0.94,-1.48
usfullsurveyor2015,cave_in_to,behavior,-1.24,-1.34,-0.7
usfullsurveyor2015,celebrity,identity,0.25,2.25,2.16
usfullsurveyor2015,cement_worker,identity,0.79,0.27,0.92
usfullsurveyor2015,censor,identity,-0.97,1.73,-0.21
usfullsurveyor2015,censure,behavior,-0.9,0.81,-0.22
usfullsurveyor2015,ceo,identity,0.71,3.22,1.48
usfullsurveyor2015,chain_smoker,identity,-2.29,-1.66,-0.46
usfullsurveyor2015,chairman,identity,0.64,2.43,0.7
usfullsurveyor2015,chairman_of_the_board,identity,1.05,3.04,0.96
usfullsurveyor2015,chairperson,identity,1.13,2.32,0.79
usfullsurveyor2015,chairwoman,identity,1.4,2.33,0.91
usfullsurveyor2015,challenge,behavior,1.29,2.04,1.5
usfullsurveyor2015,chambermaid,identity,0.5,-1.52,-0.84
usfullsurveyor2015,champion,identity,2.36,2.69,1.67
usfullsurveyor2015,chap,identity,1.25,0.18,0.48
usfullsurveyor2015,chaperone,identity,1.02,1.39,-0.07
usfullsurveyor2015,chaplain,identity,2.12,1.58,-0.52
usfullsurveyor2015,charge,behavior,-0.81,1.32,1.2
usfullsurveyor2015,charm,behavior,1.91,2,0.49
usfullsurveyor2015,charmed,modifier,1.73,1.32,0.2
usfullsurveyor2015,charming,modifier,2.32,2.2,0.48
usfullsurveyor2015,chase,behavior,-0.79,0.78,1.94
usfullsurveyor2015,chastise,behavior,-1.38,0.76,1.02
usfullsurveyor2015,chat_with,behavior,2.18,1.13,1
usfullsurveyor2015,chatter_to,behavior,0.6,0.14,1.5
usfullsurveyor2015,chatterbox,identity,-0.49,0.14,2.92
usfullsurveyor2015,chauffeur,identity,1.51,-0.51,-0.73
usfullsurveyor2015,cheat,behavior,-3.29,0.15,-0.14
usfullsurveyor2015,cheat,identity,-3.01,-0.53,-0.29
usfullsurveyor2015,cheat_on,behavior,-3.64,0.4,0.08
usfullsurveyor2015,cheer,behavior,3.16,2.61,2.28
usfullsurveyor2015,cheer_up,behavior,3.28,2.69,1.03
usfullsurveyor2015,cheerful,modifier,3.07,2.18,1.58
usfullsurveyor2015,cheerleader,identity,1.05,0.24,2.93
usfullsurveyor2015,cheerless,modifier,-2.29,-1.25,-2.42
usfullsurveyor2015,chef,identity,1.69,1.35,1.68
usfullsurveyor2015,chemical_engineer,identity,1.57,1.73,-0.41
usfullsurveyor2015,chemist,identity,1.82,1.88,-0.68
usfullsurveyor2015,chew_out,behavior,-2.08,1.2,2.32
